Transaction ID,Timestamp,User ID,Transaction Amount (INR),Payment Method,Device Type,IP Address,Merchant Category,Transaction Status,Fraudulent,Previous Fraud Records,Credit Score,Transaction Location,Bank Name,Transaction Type,User Age,Is High-Risk Country
TXN00000015,2024-07-17 07:23:57.301682,USER4731,9132.16,UPI,Mobile,192.168.155.104,Retail,Pending,0,5,720,Mumbai,Punjab National Bank,P2P,41,1
TXN00000016,2024-11-08 15:21:25.301682,USER3877,9211.06,Credit Card,Mobile,192.168.22.22,Gaming,Success,0,2,368,Chennai,Kotak Mahindra Bank,Merchant,46,0
TXN00000017,2024-06-02 04:37:48.301682,USER8316,15246.9,Net Banking,POS,192.168.1,Bill Payment,Success,0,0,418,Chennai,Bank of Baroda,Domestic,46,0
TXN00000018,2024-02-29 17:01:47.301682,USER7775,26261.58,Credit Card,Mobile,192.168.49.41,Travel,Success,0,8,723,Pune,Axis Bank,Merchant,38,0
TXN00000019,2024-02-28 09:13:54.301682,USER1991,21625.65,Credit Card,POS,abc.def.ghi.jkl,Retail,Success,0,2,546,Pune,Kotak Mahindra Bank,P2P,42,0
TXN00000020,2024-08-30 14:57:28.301682,USER3823,14596.9,Wallet,Mobile,192.168.143.101,Travel,Success,0,0,321,Ahmedabad,SBI,P2P,39,0
TXN00000021,2025-01-09 04:03:15.301682,USER6153,30612.05,Wallet,POS,192.168.182.73,Bill Payment,Pending,0,1,698,Kolkata,ICICI Bank,Domestic,36,0
TXN00000022,2025-01-15 11:57:49.301682,USER8736,7017.72,Net Banking,POS,192.168.186.57,Bill Payment,Success,0,2,797,Lucknow,Kotak Mahindra Bank,International,30,0
TXN00000023,2024-05-28 08:14:47.301682,USER6920,14642.63,Net Banking,POS, ,Bill Payment,Success,0,7,625,Bangalore,HDFC Bank,Domestic,55,0
TXN00000024,2024-07-16 06:44:37.301682,USER9931,18349.77,Credit Card,POS,192.168.126.98,Food Delivery,Success,0,7,491,Jaipur,HDFC Bank,P2P,74,0
TXN00000025,2024-05-19 01:30:51.301682,USER8662,22830.7,Debit Card,Mobile,192.168.215.114,Gaming,Success,0,1,651,Chennai,Punjab National Bank,International,50,0
TXN00000026,2024-06-05 15:47:28.301682,USER8574,39269.54,Net Banking,POS,192.168.143.175,Online Shopping,Success,0,5,703,Jaipur,Punjab National Bank,Domestic,50,0
TXN00000027,2024-04-10 04:24:20.301682,USER5558,10023.71,Credit Card,ATM,192.168.63.89,Food Delivery,Success,0,1,726,Chennai,Axis Bank,International,73,0
TXN00000028,2024-05-10 07:50:34.301682,USER8168,25736.01,UPI,Mobile,abc.def.ghi.jkl,Gaming,Success,0,6,622,Bangalore,Kotak Mahindra Bank,P2P,29,0
TXN00000029,2024-08-27 00:19:29.301682,USER4905,29641.11,Wallet,POS,192.168.137.98,Travel,Success,0,9,893,Pune,Punjab National Bank,Domestic,63,0
TXN00000030,2024-10-01 20:39:17.301682,USER6752,2370.2,Debit Card,Mobile,192.168.104.30,Online Shopping,Failed,0,2,526,Jaipur,Punjab National Bank,International,40,0
TXN00000031,2024-05-30 21:37:30.301682,USER5422,30396.87,Credit Card,Mobile,192.168.189.53,Food Delivery,Success,1,7,479,Mumbai,HDFC Bank,P2P,46,0
TXN00000032,2024-03-18 04:53:59.301682,USER6998,8567.68,UPI,Mobile,192.168.220.220,Food Delivery,Success,0,2,777,Bangalore,Punjab National Bank,Domestic,46,0
TXN00000033,2024-07-19 14:01:03.301682,USER8439,3299.33,Wallet,Mobile,192.168.89.97,Retail,Success,0,9,714,Pune,Bank of Baroda,Domestic,60,0
TXN00000034,2024-11-19 11:15:34.301682,USER5728,47446.83,UPI,POS,192.168.73.9,Food Delivery,Success,0,5,612,Jaipur,HDFC Bank,International,18,1
TXN00000035,2024-12-14 21:49:50.301682,USER1350,48283.32,Credit Card,Mobile,abc.def.ghi.jkl,Bill Payment,Success,1,0,453,Hyderabad,Punjab National Bank,International,41,0
TXN00000036,2024-08-22 11:59:48.301682,USER4769,40429.45,Net Banking,ATM,192.168.88.90,Travel,Failed,1,7,335,Chennai,Axis Bank,International,22,0
TXN00000037,2024-10-08 16:57:56.301682,USER6214,15265.46,Wallet,Mobile,192.168.170.214,Food Delivery,Success,0,6,421,Ahmedabad,SBI,Domestic,74,0
TXN00000038,2024-10-07 10:55:12.301682,USER1241,4928.72,UPI,Mobile,192.168.84.155,Bill Payment,Success,0,0,481,Hyderabad,Kotak Mahindra Bank,International,52,0
TXN00000039,2024-12-12 17:41:32.301682,USER1151,34227.44,Net Banking,ATM,192.168.209.54,Gaming,Success,0,6,725,Delhi,SBI,International,62,0
TXN00000040,2024-06-30 05:27:39.301682,USER3228,22035.62,Debit Card,POS,192.168.254.156,Gaming,Success,0,4,403,Pune,ICICI Bank,Merchant,22,0
TXN00000041,2025-01-05 08:11:25.301682,USER3706,6145.81,Credit Card,ATM,192.168.248.35,Bill Payment,Success,0,1,381,Delhi,Bank of Baroda,International,30,0
TXN00000042,2024-09-12 04:47:40.301682,USER9768,24784.09,Credit Card,Desktop,abc.def.ghi.jkl,Retail,Success,1,0,835,Kolkata,SBI,Domestic,49,0
TXN00000043,2024-08-03 06:13:13.301682,USER4112,1767.71,Wallet,ATM,192.168.164.65,Retail,Success,0,1,637,Pune,HDFC Bank,Domestic,72,0
TXN00000044,2025-02-11 03:27:19.301682,USER5672,45470.55,UPI,POS,192.168.148.175,Gaming,Success,1,5,402,Ahmedabad,HDFC Bank,Merchant,59,0
TXN00000045,2024-08-06 23:27:48.301682,USER9471,12976.06,Debit Card,ATM,192.168.44.177,Travel,Success,0,1,563,Chennai,Bank of Baroda,P2P,44,0
TXN00000046,2024-02-13 00:23:30.301682,USER9238,33142.99,Wallet,Mobile,192.168.162.140,Food Delivery,Success,0,5,530,Mumbai,SBI,Domestic,41,0
TXN00000047,2024-07-05 10:25:14.301682,USER5075,15619.97,Wallet,POS,192.168.135.93,Gaming,Success,0,7,481,Bangalore,SBI,Merchant,20,0
TXN00000048,2024-12-07 20:36:03.301682,USER6535,26027.4,UPI,Desktop,192.168.86.228,Gaming,Failed,0,7,526,Lucknow,ICICI Bank,Domestic,18,0
TXN00000049,2024-03-20 13:03:14.301682,USER8673,27358.18,Debit Card,POS,192.168.178.153,Bill Payment,Success,0,5,799,Jaipur,Punjab National Bank,International,46,0
TXN00000050,2024-11-26 03:18:04.301682,USER2420,9283.48,UPI,Mobile,192.168.225.205,Retail,Success,1,4,810,Kolkata,ICICI Bank,International,62,0
TXN00000051,2024-06-07 17:44:28.301682,USER9126,48480.75,Credit Card,Desktop,999.999.999.999,Travel,Success,1,3,302,Chennai,Kotak Mahindra Bank,Domestic,39,0
TXN00000052,2024-11-06 18:08:07.301682,USER3797,38767.88,Net Banking,POS, ,Bill Payment,Success,0,5,775,Mumbai,HDFC Bank,Merchant,22,0
TXN00000053,2024-04-28 22:52:06.301682,USER5306,46977.97,Credit Card,POS, ,Gaming,Success,0,4,629,Hyderabad,Kotak Mahindra Bank,Domestic,60,0
TXN00000054,2024-12-18 11:13:35.301682,USER9749,44746.63,Credit Card,Mobile,192.168.127.194,Online Shopping,Success,0,9,620,Chennai,Kotak Mahindra Bank,International,38,0
TXN00000055,2024-08-25 14:41:37.301682,USER9852,29915.1,Wallet,ATM,192.168.185.254,Food Delivery,Success,0,3,847,Delhi,SBI,International,29,0
TXN00000056,2024-04-24 04:42:49.301682,USER5422,46097.62,Credit Card,ATM,192.168.19.218,Gaming,Success,1,5,483,Chennai,HDFC Bank,Merchant,45,0
TXN00000057,2024-05-22 07:34:17.301682,USER1826,4470.2,Debit Card,Desktop, ,Bill Payment,Success,0,8,479,Bangalore,Kotak Mahindra Bank,Merchant,28,0
TXN00000058,2024-12-10 13:41:01.301682,USER3280,9839.34,Credit Card,Mobile,192.168.2.192,Online Shopping,Success,0,8,424,Ahmedabad,SBI,International,32,0
TXN00000059,2025-01-08 08:24:39.301682,USER1167,2309.1,Debit Card,Mobile,192.168.159.208,Online Shopping,Success,0,7,739,Lucknow,Axis Bank,P2P,55,0
TXN00000060,2024-09-04 23:38:50.301682,USER9348,16300.25,UPI,ATM,999.999.999.999,Gaming,Success,0,9,694,Mumbai,Bank of Baroda,International,52,0
TXN00000061,2024-04-27 23:34:56.301682,USER6913,19464.43,Wallet,ATM,192.168.183.21,Travel,Success,0,0,684,Hyderabad,ICICI Bank,P2P,65,0
TXN00000062,2024-03-29 05:27:56.301682,USER7252,13603.88,Debit Card,Desktop,192.168.31.52,Retail,Success,0,8,411,Jaipur,SBI,Merchant,62,0
TXN00000063,2024-05-26 00:39:51.301682,USER6106,41445.44,Credit Card,ATM,192.168.187.239,Online Shopping,Success,0,4,501,Mumbai,SBI,Domestic,33,0
TXN00000064,2024-12-11 17:58:57.301682,USER8764,17869.83,Wallet,Desktop,192.168.113.140,Food Delivery,Success,0,2,627,Kolkata,Kotak Mahindra Bank,International,54,0
TXN00000065,2024-02-23 20:14:11.301682,USER8090,14082.68,Wallet,POS,192.168.239.231,Bill Payment,Success,0,7,707,Kolkata,SBI,P2P,32,0
TXN00000066,2024-08-27 07:34:07.301682,USER5094,27157.67,Debit Card,Desktop,192.168.143.192,Bill Payment,Success,0,7,888,Delhi,Punjab National Bank,International,49,0
TXN00000067,2024-04-14 06:08:31.301682,USER1340,7089.17,Debit Card,Desktop,abc.def.ghi.jkl,Bill Payment,Success,0,8,564,Mumbai,SBI,International,33,0
TXN00000068,2024-10-24 23:02:11.301682,USER9719,40119.74,Net Banking,Desktop,192.168.167.200,Gaming,Success,1,1,742,Mumbai,Punjab National Bank,Domestic,50,0
TXN00000069,2024-03-19 11:49:05.301682,USER5620,3773.8,Net Banking,POS,300.400.500.600,Bill Payment,Success,0,9,553,Lucknow,Kotak Mahindra Bank,P2P,57,0
TXN00000070,2024-04-03 14:26:02.301682,USER2682,49345.0,Wallet,ATM,192.168.58.172,Bill Payment,Success,1,3,369,Chennai,SBI,Merchant,74,0
TXN00000071,2024-07-10 14:56:20.301682,USER6785,38623.63,Net Banking,Desktop,192.168.151.242,Food Delivery,Failed,0,9,834,Chennai,Punjab National Bank,P2P,37,0
TXN00000072,2024-05-01 07:13:51.301682,USER1700,9975.85,Credit Card,ATM,192.168.240.100,Retail,Success,0,1,641,Lucknow,ICICI Bank,International,54,0
TXN00000073,2024-12-22 00:34:05.301682,USER6411,325.83,UPI,Desktop,192.168.57.143,Travel,Success,0,5,512,Pune,HDFC Bank,Domestic,56,0
TXN00000074,2024-08-21 14:49:57.301682,USER9275,40782.3,Wallet,ATM,192.168.247.143,Gaming,Success,1,0,422,Jaipur,Bank of Baroda,Merchant,49,0
TXN00000075,2024-12-05 10:23:44.301682,USER1938,35357.52,UPI,Desktop,192.168.39.239,Gaming,Success,0,9,836,Hyderabad,Kotak Mahindra Bank,Domestic,27,0
TXN00000076,2024-06-24 13:17:31.301682,USER9801,36463.91,Net Banking,ATM,192.168.91.19,Bill Payment,Success,1,2,849,Hyderabad,Axis Bank,Domestic,33,0
TXN00000077,2024-08-27 06:23:16.301682,USER2375,38574.95,Debit Card,Mobile,192.168.139.124,Food Delivery,Success,1,1,494,Pune,Axis Bank,International,22,0
TXN00000078,2024-11-14 10:13:53.301682,USER4908,3748.53,Wallet,POS,192.168.86.129,Online Shopping,Success,0,6,569,Jaipur,Punjab National Bank,Merchant,37,0
TXN00000079,2024-05-10 04:37:36.301682,USER7455,17955.36,Net Banking,Desktop,192.168.117.194,Bill Payment,Success,0,7,789,Pune,HDFC Bank,Domestic,73,0
TXN00000080,2024-12-16 11:35:24.301682,USER1337,5837.66,Credit Card,POS,192.168.242.120,Bill Payment,Success,0,1,365,Ahmedabad,ICICI Bank,Merchant,44,0
TXN00000081,2024-10-31 18:42:11.301682,USER5169,43162.02,Wallet,Desktop,192.168.252.252,Gaming,Success,1,8,498,Lucknow,SBI,Merchant,60,0
TXN00000082,2024-03-09 07:28:01.301682,USER3580,31183.74,Wallet,Mobile,192.168.204.220,Gaming,Success,1,0,441,Pune,Punjab National Bank,Merchant,71,0
TXN00000083,2024-03-31 20:39:20.301682,USER4859,16578.36,Debit Card,Mobile,192.168.1,Bill Payment,Success,0,1,540,Jaipur,Axis Bank,Domestic,67,0
TXN00000084,2024-03-17 16:59:21.301682,USER6768,3224.74,Wallet,POS,192.168.67.18,Gaming,Success,0,2,508,Kolkata,SBI,Domestic,37,0
TXN00000085,2024-03-31 16:58:28.301682,USER2978,15583.57,Debit Card,Desktop,192.168.228.178,Food Delivery,Success,0,1,425,Jaipur,ICICI Bank,P2P,30,0
TXN00000086,2024-08-18 12:09:58.301682,USER7838,16292.91,Net Banking,ATM,192.168.142.56,Online Shopping,Success,0,0,565,Bangalore,Kotak Mahindra Bank,Merchant,36,0
TXN00000087,2024-03-14 17:59:17.301682,USER5839,36493.83,Credit Card,Desktop,999.999.999.999,Online Shopping,Success,0,7,654,Hyderabad,HDFC Bank,Domestic,61,0
TXN00000088,2024-07-22 09:34:34.301682,USER7767,31896.0,Credit Card,ATM,192.168.29.143,Online Shopping,Success,1,0,475,Jaipur,Punjab National Bank,Domestic,67,0
TXN00000089,2024-08-05 13:06:42.301682,USER2530,44366.28,Wallet,POS,192.168.123.219,Bill Payment,Success,0,4,686,Delhi,ICICI Bank,International,32,0
TXN00000090,2024-10-03 15:28:16.301682,USER8729,23637.14,Wallet,POS,192.168.138.188,Travel,Success,0,5,346,Delhi,Axis Bank,P2P,55,0
TXN00000091,2024-04-12 12:26:22.301682,USER5248,6023.73,Net Banking,Mobile,192.168.202.39,Bill Payment,Success,0,6,871,Lucknow,Axis Bank,Merchant,44,0
TXN00000092,2025-02-03 02:58:58.301682,USER9184,35676.58,Debit Card,ATM,192.168.131.64,Bill Payment,Success,1,2,466,Ahmedabad,HDFC Bank,Domestic,59,0
TXN00000093,2024-06-05 13:06:24.301682,USER3115,38051.21,Credit Card,Desktop,999.999.999.999,Food Delivery,Success,0,6,854,Lucknow,Kotak Mahindra Bank,Domestic,34,0
TXN00000094,2024-05-16 19:18:12.301682,USER7343,28085.8,Debit Card,Mobile,192.168.109.236,Online Shopping,Success,0,7,857,Kolkata,ICICI Bank,P2P,27,0
TXN00000095,2024-12-29 04:26:33.301682,USER9637,38559.81,Net Banking,POS,192.168.215.248,Gaming,Success,0,9,516,Chennai,Axis Bank,P2P,53,0
TXN00000096,2024-08-31 12:36:04.301682,USER8271,24715.09,Credit Card,Mobile,192.168.18.32,Gaming,Success,0,2,598,Delhi,Punjab National Bank,Merchant,57,0
TXN00000097,2024-04-05 16:43:07.301682,USER4295,26160.5,Credit Card,Desktop,192.168.121.80,Retail,Success,0,4,638,Mumbai,Axis Bank,Domestic,22,0
TXN00000098,2024-08-21 01:42:58.301682,USER6592,21405.67,UPI,Desktop,192.168.142.122,Retail,Success,0,0,402,Bangalore,Kotak Mahindra Bank,P2P,68,0
TXN00000099,2024-04-21 14:02:02.301682,USER5586,1319.69,Net Banking,POS,192.168.1,Travel,Success,0,8,385,Kolkata,Bank of Baroda,Domestic,67,0
TXN00000100,2024-04-12 15:15:12.301682,USER6400,5439.18,Net Banking,Mobile,192.168.1,Gaming,Success,0,7,525,Chennai,Axis Bank,P2P,65,0
TXN00000101,2024-07-07 19:33:04.301682,USER4362,1619.89,UPI,ATM,192.168.131.253,Online Shopping,Success,0,2,800,Kolkata,Bank of Baroda,Domestic,44,0
TXN00000102,2024-11-16 04:37:46.301682,USER5240,31838.7,Debit Card,ATM,192.168.77.54,Bill Payment,Success,0,3,667,Pune,Axis Bank,P2P,71,0
TXN00000103,2025-01-23 02:52:33.301682,USER5248,15752.08,UPI,ATM,192.168.120.26,Gaming,Success,0,0,302,Pune,SBI,Domestic,45,0
TXN00000104,2024-03-04 19:09:55.301682,USER9343,25453.11,Net Banking,Desktop,192.168.1,Travel,Pending,0,0,619,Bangalore,Bank of Baroda,P2P,21,0
TXN00000105,2024-10-12 04:07:16.301682,USER1412,45382.95,Debit Card,Mobile,192.168.221.7,Travel,Success,1,5,323,Lucknow,HDFC Bank,P2P,24,0
TXN00000106,2024-04-09 15:20:46.301682,USER2657,12502.15,Credit Card,ATM,192.168.40.186,Gaming,Success,0,5,773,Ahmedabad,Punjab National Bank,Merchant,25,0
TXN00000107,2024-05-25 18:01:31.301682,USER9552,20548.63,UPI,Mobile,192.168.102.120,Retail,Success,0,8,824,Ahmedabad,SBI,Domestic,32,0
TXN00000108,2024-03-23 02:42:20.301682,USER6968,37789.78,Debit Card,POS,192.168.152.165,Online Shopping,Success,0,4,517,Bangalore,Axis Bank,International,58,0
TXN00000109,2024-04-24 07:45:11.301682,USER1820,11478.47,Debit Card,ATM,192.168.63.212,Gaming,Success,0,2,795,Kolkata,Kotak Mahindra Bank,P2P,46,0
TXN00000110,2024-03-05 13:03:31.301682,USER9251,3895.15,Debit Card,Mobile,192.168.51.225,Bill Payment,Success,0,5,889,Jaipur,Bank of Baroda,Domestic,56,0
TXN00000111,2024-12-18 23:34:51.301682,USER7794,14523.09,UPI,Desktop,192.168.241.8,Bill Payment,Success,0,7,401,Mumbai,Punjab National Bank,International,26,0
TXN00000112,2024-02-15 10:41:01.301682,USER8374,8103.0,Credit Card,POS,192.168.28.221,Food Delivery,Success,0,6,329,Delhi,HDFC Bank,Merchant,37,0
TXN00000113,2024-03-25 02:21:02.301682,USER8734,46488.4,Debit Card,POS,192.168.124.49,Bill Payment,Success,0,9,766,Delhi,ICICI Bank,Merchant,18,0
TXN00000114,2024-03-05 21:49:49.301682,USER5700,40415.61,UPI,POS,192.168.7.247,Gaming,Success,0,2,502,Chennai,ICICI Bank,International,24,0
TXN00000115,2024-09-04 14:20:48.301682,USER1055,31688.52,Net Banking,POS,192.168.21.107,Gaming,Pending,1,0,452,Kolkata,Kotak Mahindra Bank,Merchant,51,0
TXN00000116,2024-10-13 23:26:47.301682,USER7897,43579.46,UPI,Desktop,192.168.91.56,Bill Payment,Success,1,3,342,Bangalore,ICICI Bank,Merchant,64,0
TXN00000117,2024-07-05 03:21:36.301682,USER4615,40193.42,UPI,Desktop,192.168.166.250,Retail,Success,0,5,713,Hyderabad,Punjab National Bank,Domestic,27,0
TXN00000118,2024-05-14 17:40:14.301682,USER7128,9369.17,UPI,ATM,192.168.83.88,Online Shopping,Success,0,3,851,Lucknow,SBI,P2P,58,0
TXN00000119,2024-05-20 08:48:22.301682,USER3354,44633.32,Debit Card,Desktop,192.168.11.166,Travel,Success,0,4,742,Delhi,Axis Bank,Domestic,65,0
TXN00000120,2024-11-16 10:19:08.301682,USER1584,26990.14,UPI,Desktop,192.168.30.70,Gaming,Success,0,9,450,Bangalore,ICICI Bank,P2P,23,0
TXN00000121,2024-06-07 02:22:47.301682,USER4830,40381.64,Net Banking,POS,192.168.70.51,Bill Payment,Pending,1,6,343,Ahmedabad,Punjab National Bank,International,42,0
TXN00000122,2025-02-03 06:07:51.301682,USER4051,44809.76,Debit Card,Desktop,192.168.53.192,Travel,Success,0,4,892,Chennai,Punjab National Bank,P2P,29,0
TXN00000123,2024-08-21 09:55:44.301682,USER7680,15934.27,Net Banking,POS,192.168.100.87,Bill Payment,Pending,0,4,556,Delhi,Bank of Baroda,Domestic,57,0
TXN00000124,2024-06-17 22:11:14.301682,USER9557,5547.09,Wallet,Mobile,192.168.1,Gaming,Success,0,1,789,Lucknow,Punjab National Bank,Domestic,58,1
TXN00000125,2024-04-29 22:01:42.301682,USER9535,11435.36,UPI,Mobile,192.168.112.164,Food Delivery,Success,0,0,402,Lucknow,Punjab National Bank,Merchant,56,0
TXN00000126,2024-04-21 23:01:14.301682,USER1153,21384.03,Debit Card,Mobile,192.168.18.99,Online Shopping,Success,0,3,852,Delhi,Bank of Baroda,International,31,0
TXN00000127,2024-05-31 06:03:43.301682,USER1730,40909.84,Debit Card,Mobile,192.168.90.66,Gaming,Success,0,9,507,Hyderabad,SBI,Domestic,28,0
TXN00000128,2025-01-16 04:34:32.301682,USER8029,43043.49,UPI,Mobile,192.168.147.189,Travel,Success,0,7,693,Jaipur,HDFC Bank,P2P,29,0
TXN00000129,2024-05-31 18:47:20.301682,USER7932,397.26,Credit Card,Mobile,999.999.999.999,Bill Payment,Success,0,2,407,Kolkata,Kotak Mahindra Bank,Domestic,36,0
TXN00000130,2024-07-02 05:45:19.301682,USER7232,25561.83,Credit Card,Mobile,192.168.145.71,Food Delivery,Failed,0,5,628,Mumbai,Punjab National Bank,Domestic,59,0
TXN00000131,2024-04-15 15:45:43.301682,USER3889,20899.68,Net Banking,POS,192.168.14.84,Gaming,Success,0,9,633,Hyderabad,Bank of Baroda,Domestic,45,0
TXN00000132,2024-05-04 09:59:22.301682,USER2844,11144.29,UPI,POS,192.168.1,Online Shopping,Success,0,1,807,Bangalore,HDFC Bank,Merchant,70,0
TXN00000133,2024-11-01 12:46:59.301682,USER3067,6037.28,UPI,POS,192.168.215.236,Food Delivery,Success,0,8,868,Mumbai,HDFC Bank,Merchant,36,0
TXN00000134,2024-03-28 20:03:43.301682,USER7293,16913.88,Wallet,POS,192.168.128.66,Travel,Success,0,8,896,Kolkata,SBI,P2P,46,0
TXN00000135,2024-02-13 16:48:21.301682,USER4183,47148.34,Credit Card,Desktop,192.168.29.220,Bill Payment,Success,0,3,725,Lucknow,Punjab National Bank,Merchant,62,0
TXN00000136,2024-02-24 16:15:18.301682,USER7627,16193.99,Credit Card,Desktop,192.168.84.134,Retail,Success,0,7,877,Mumbai,Punjab National Bank,P2P,52,0
TXN00000137,2024-10-10 07:22:26.301682,USER2886,25963.59,UPI,ATM,192.168.155.148,Online Shopping,Success,0,1,881,Mumbai,Bank of Baroda,Merchant,40,0
TXN00000138,2024-06-24 17:56:26.301682,USER9155,35165.8,Net Banking,Desktop,192.168.2.182,Food Delivery,Success,0,9,532,Pune,ICICI Bank,Merchant,33,0
TXN00000139,2024-12-13 02:00:44.301682,USER8001,18213.3,UPI,POS,192.168.38.15,Gaming,Failed,0,1,750,Mumbai,SBI,International,71,0
TXN00000140,2024-12-09 16:51:08.301682,USER9691,48590.52,Net Banking,POS,192.168.229.242,Gaming,Success,1,5,566,Bangalore,ICICI Bank,P2P,54,0
TXN00000141,2024-06-02 06:59:07.301682,USER3949,48124.24,Credit Card,Mobile,192.168.237.153,Food Delivery,Success,0,1,815,Chennai,Axis Bank,Merchant,38,0
TXN00000142,2024-10-26 09:16:44.301682,USER3345,12626.53,Wallet,Mobile,192.168.131.89,Gaming,Success,0,0,890,Bangalore,Kotak Mahindra Bank,Domestic,57,0
TXN00000143,2024-08-21 07:21:46.301682,USER5758,24887.56,Debit Card,ATM,999.999.999.999,Food Delivery,Success,0,9,678,Kolkata,Axis Bank,Domestic,18,0
TXN00000144,2025-01-20 02:06:32.301682,USER4813,15078.87,Credit Card,Desktop,192.168.191.89,Online Shopping,Success,0,1,783,Jaipur,Bank of Baroda,Merchant,63,0
TXN00000145,2024-05-12 23:27:53.301682,USER2524,14277.78,Net Banking,POS,192.168.30.35,Gaming,Success,0,1,378,Delhi,Punjab National Bank,P2P,69,0
TXN00000146,2025-01-11 17:05:34.301682,USER2975,1892.5,UPI,Desktop,192.168.152.31,Online Shopping,Success,0,4,541,Pune,ICICI Bank,Merchant,54,0
TXN00000147,2024-05-15 23:49:04.301682,USER5598,30497.74,Credit Card,ATM,192.168.54.82,Bill Payment,Success,0,5,705,Hyderabad,Bank of Baroda,P2P,42,0
TXN00000148,2025-01-20 03:10:11.301682,USER8273,25158.82,Wallet,Mobile,300.400.500.600,Bill Payment,Success,0,2,575,Kolkata,ICICI Bank,Merchant,33,0
TXN00000149,2024-03-04 08:14:25.301682,USER3432,2621.36,Net Banking,POS,192.168.247.64,Bill Payment,Success,0,7,477,Lucknow,HDFC Bank,International,50,0
TXN00000150,2024-09-30 09:18:46.301682,USER5984,13968.39,UPI,Mobile,192.168.147.45,Bill Payment,Success,0,1,842,Lucknow,ICICI Bank,P2P,42,0
TXN00000151,2024-07-10 22:48:00.301682,USER3555,45417.88,Debit Card,POS,192.168.124.58,Gaming,Success,0,9,630,Kolkata,HDFC Bank,Merchant,39,0
TXN00000152,2024-09-28 05:58:12.301682,USER5512,12016.12,Net Banking,Mobile,999.999.999.999,Food Delivery,Success,0,2,783,Ahmedabad,Punjab National Bank,International,20,0
TXN00000153,2024-04-25 05:26:37.301682,USER4195,7287.5,UPI,Mobile,192.168.37.55,Gaming,Success,0,3,852,Pune,HDFC Bank,International,20,0
TXN00000154,2024-02-19 05:51:17.301682,USER6726,24498.17,Debit Card,ATM,192.168.195.174,Travel,Success,0,4,815,Chennai,Kotak Mahindra Bank,P2P,28,0
TXN00000155,2025-01-29 19:21:23.301682,USER7452,49283.24,UPI,Desktop,192.168.93.22,Gaming,Success,0,4,569,Pune,ICICI Bank,Merchant,60,0
TXN00000156,2024-10-24 15:42:49.301682,USER8643,12140.66,Debit Card,Mobile,192.168.109.10,Online Shopping,Success,0,5,473,Kolkata,Punjab National Bank,International,69,0
TXN00000157,2025-02-08 11:18:24.301682,USER6307,33623.17,Debit Card,POS,192.168.7.233,Food Delivery,Success,0,3,776,Chennai,Axis Bank,International,22,0
